unit:id:admin	unit:name	unit:classification	unit:relation_type	unit:related_unit_id:admin	unit:related_unit	unit:related_unit_class	unit:related_unit_first_cited_date	unit:related_unit_first_cited_date_start	unit:related_unit_last_cited_date	unit:related_unit_open
e466a15c-a397-42e4-8906-c3dd7e47540a	Brigade Territoriale (Kati)	Gendarmerie;Military	child	fa0acf48-67e8-49a2-9a21-23c982dd7c31	Compagnie Territoriale (Bamako Rive Gauche)	Command	2020-03-19			Y
00b77bf0-0b21-4630-9766-b9656acdd3e6	Brigade Territoriale (Kayes)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2015-12-22	N	2019-01-19	Y
c2f37081-424d-4b09-b0a4-6a98e7342ed8	Brigade Territoriale (Ke Macina)	Gendarmerie;Military	child	31b0f888-cece-40ac-85c8-96974ba28c64	Compagnie Territoriale (Ségou)	Command	2017-10-09	N		Y
ad746b80-4fcd-458f-97c9-6931d6f57d91	Brigade Territoriale (Kéniéba)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2013-06-10	N	2019-01-19	Y
ea22a2b9-b77e-4985-b67c-9c32c7a3ef03	Brigade Territoriale (Kignan)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2014-09-28	N	2019-01-19	Y
ca839266-33a2-45fd-a9f8-3f5e2636e14d	Brigade Territoriale (Kimparana)	Gendarmerie;Military	child	9ed9d9ee-3748-4e32-a405-d4cefbff5b5f	Compagnie Territoriale (San)	Command	2017-10-09	N		Y
06e4e7b3-acde-4b7f-99d5-817e5714bba7	Brigade Territoriale (Kita)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2018-10-28	N	2019-01-19	Y
b88716b6-1bb3-487b-a871-9d3c3e2a354b	Brigade Territoriale (Kolokani)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2019-01-19	N	2019-11-19	Y
a4921e01-804c-4e04-841c-9f229ab4e0c7	Brigade Territoriale (Kolondieba)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2015-04-30	N	2019-01-19	Y
000cff55-b643-4f18-8547-bf79137a72c7	Brigade Territoriale (Konna)	Gendarmerie;Military	child	0542e865-157a-44e5-ac15-fd168c062d13	Compagnie Territoriale (Mopti)	Command	2017-10-09	N		Y
22420078-0fce-44bd-ac8b-514c27252ece	Brigade Territoriale (Koro)	Gendarmerie;Military	child	9ba38934-e36c-4808-819b-8a27e0802025	Compagnie Territoriale (Koro)	Command	2017-10-09	N		Y
dec126d3-0e77-4ae4-ad0d-95c78349394b	Brigade Territoriale (Koumantou)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2018-04-19	N	2019-01-19	Y
4b67033e-7b95-4a88-b1fd-a67962ec933e	Brigade Territoriale (Kourouba)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2019-01-19	N	2020-02-29	Y
bb1ca689-8772-4572-a76a-72714ceaec43	Brigade Territoriale (Koury)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2015-04-30	N	2019-05-19	Y
0cdb1577-8fb8-4e92-8270-fc316e5a8aaf	Brigade Territoriale (Koutiala)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2014-02-	N	2019-01-19	Y
1f064b96-38dc-4bf6-bf19-3774b6f00619	Brigade Territoriale (Labbézenga)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2016-01-22	N	2019-01-19	Y
5afbac03-2225-448d-bde9-87399a3512eb	Brigade Territoriale (Léré)	Gendarmerie;Military	child	13ade254-a92f-4be8-827d-a890f20f246a	Unknown Compagnie Territoriale	Command	2019-01-19	N	2019-12-23	Y
da782f7e-13c9-4f22-9dcc-07dcf2fe10cd	Brigade Territoriale (Madougou-Dogon)	Gendarmerie;Military	child	9ba38934-e36c-4808-819b-8a27e0802025	Compagnie Territoriale (Koro)	Command	2017-10-09	Y		Y
